"Activo","Indice","Umbral","N_crisis","Beta_normal","p_Beta_normal","Beta_crisis","p_Beta_crisis","Clasificacion"
"Bitcoin","S&P 500","1%",19,0.8908,"<0.0001",1.2505,"0.0004","Procíclico"
"Bitcoin","S&P 500","5%",94,0.8409,"<0.0001",1.179,"<0.0001","Procíclico"
"Bitcoin","S&P 500","10%",187,0.87,"<0.0001",1.0917,"<0.0001","Procíclico"
"Bitcoin","Eurostoxx 50","1%",19,0.4859,"<0.0001",1.3256,"0.0154","Procíclico"
"Bitcoin","Eurostoxx 50","5%",94,0.5177,"<0.0001",0.9148,"0.0327","Procíclico"
"Bitcoin","Eurostoxx 50","10%",187,0.5246,"<0.0001",0.843,"0.0286","Procíclico"
"Bitcoin","Nikkei 225","1%",19,-0.0048,"0.9503",0.36,"0.2260","Sin evidencia"
"Bitcoin","Nikkei 225","5%",94,-0.0751,"0.3202",0.3424,"0.0833","Sin evidencia"
"Bitcoin","Nikkei 225","10%",187,-0.0628,"0.4418",0.2396,"0.1682","Sin evidencia"
"Oro","S&P 500","1%",19,0.0804,"0.0301",0.1485,"0.0003","Procíclico"
"Oro","S&P 500","5%",94,0.1009,"0.0268",0.0886,"0.0295","Procíclico"
"Oro","S&P 500","10%",187,0.1053,"0.0388",0.0856,"0.0228","Procíclico"
"Oro","Eurostoxx 50","1%",19,0.0009,"0.9791",0.1754,"0.0034","Procíclico"
"Oro","Eurostoxx 50","5%",94,-0.0021,"0.9623",0.1049,"0.0282","Procíclico"
"Oro","Eurostoxx 50","10%",187,-0.0018,"0.9726",0.0872,"0.0646","Sin evidencia"
"Oro","Nikkei 225","1%",19,0.03,"0.2552",0.1093,"0.0963","Sin evidencia"
"Oro","Nikkei 225","5%",94,0.0281,"0.3701",0.0779,"0.0920","Sin evidencia"
"Oro","Nikkei 225","10%",187,0.0305,"0.3915",0.0643,"0.1230","Sin evidencia"
