"Activo","Indice","Umbral","N_crisis","Beta0","p_Beta0_bi","Beta1","p_Beta1_bi","Sig_Beta1","Beta2","p_Beta2_bi","Sig_Beta2","Beta_crisis","SE_Beta_crisis","p_Beta_crisis_bi","Sig_Beta_crisis","Clasificacion"
"Bitcoin","S&P 500","1%",19,0.0000689645682347204,0.935721003542524,0.890777953050087,0.0000000000000000000000781667323023265,"***",0.359737392360935,0.317536497362205,"n.s.",1.25051534541102,0.354845307193677,0.000435161904100323,"***","Procíclico"
"Bitcoin","S&P 500","5%",94,0.000410382365476187,0.6431916724407,0.840865185320006,0.00000000000000000000106885311719507,"***",0.338162610482402,0.171698978332203,"n.s.",1.17902779580241,0.240486180357898,0.00000102740018675531,"***","Procíclico"
"Bitcoin","S&P 500","10%",187,0.000382869110635408,0.685883762740895,0.870049402793466,0.00000000000000000000145692547122603,"***",0.221663108027171,0.351605954727266,"n.s.",1.09171251082064,0.22318794079436,0.00000108703567122835,"***","Procíclico"
"Bitcoin","Eurostoxx 50","1%",19,0.000595826155940836,0.518541336645256,0.485945253809872,0.000000434458667049489,"***",0.839675992807642,0.120858564248307,"n.s.",1.32562124661751,0.546854242744933,0.0154416893144898,"**","Procíclico"
"Bitcoin","Eurostoxx 50","5%",94,0.000734204730337259,0.483936401024347,0.517729074344552,0.000000495666852331588,"***",0.397062673344603,0.359341148195209,"n.s.",0.914791747689155,0.428017056813165,0.0327052666066494,"**","Procíclico"
"Bitcoin","Eurostoxx 50","10%",187,0.000846566676618611,0.469729656239739,0.524557116025972,0.000000379254662561236,"***",0.318474593316774,0.422926423857046,"n.s.",0.843031709342746,0.384800408383622,0.0285877726024909,"**","Procíclico"
"Bitcoin","Nikkei 225","1%",19,0.000505453034585921,0.571197622016769,-0.00481976943933511,0.950328897445736,"n.s.",0.364812340238415,0.222658155772795,"n.s.",0.35999257079908,0.297236883525976,0.225999194073244,"n.s.","Sin evidencia"
"Bitcoin","Nikkei 225","5%",94,0.000981062477034466,0.271096662956445,-0.0750749771748205,0.320170415199267,"n.s.",0.417485344857145,0.0385012485864255,"**",0.342410367682325,0.197626579515722,0.0833300692446805,"*","Sin evidencia"
"Bitcoin","Nikkei 225","10%",187,0.00105693462387334,0.254951269138173,-0.0627894145063624,0.441753032919261,"n.s.",0.302422016442378,0.102481145430475,"n.s.",0.239632601936015,0.173812366856587,0.168157325967145,"n.s.","Sin evidencia"
"Oro","S&P 500","1%",19,0.000531677849870588,0.0124866910676503,0.0803845079770301,0.030126995866562,"**",0.0681493390055203,0.266364574607359,"n.s.",0.14853384698255,0.0413636028229406,0.000338040032134682,"***","Procíclico"
"Oro","S&P 500","5%",94,0.000465757903661529,0.0359280628343922,0.100888682683833,0.0268447917564865,"**",-0.0122570883572851,0.862918553022701,"n.s.",0.0886315943265481,0.0406796049608652,0.029473611425411,"**","Procíclico"
"Oro","S&P 500","10%",187,0.000437692681474219,0.0779584736941269,0.105291811627523,0.038767266730787,"**",-0.0197227284951698,0.787860795553046,"n.s.",0.0855690831323527,0.0375419771534534,0.0227624925142314,"**","Procíclico"
"Oro","Eurostoxx 50","1%",19,0.000625488091142666,0.0039752333999097,0.000929883188847092,0.979060365409214,"n.s.",0.174462337830089,0.00782699123523681,"***",0.175392221018936,0.0597921334935955,0.00339406779586747,"***","Procíclico"
"Oro","Eurostoxx 50","5%",94,0.00069385619331269,0.00170838441349493,-0.00214630904855812,0.962294946213914,"n.s.",0.107044491512779,0.0947912365927745,"*",0.104898182464221,0.0477727755038608,0.0282311483226988,"**","Procíclico"
"Oro","Eurostoxx 50","10%",187,0.000731464868689524,0.00215565256437998,-0.0017603343607088,0.97259852289861,"n.s.",0.0889515477022752,0.202156699043482,"n.s.",0.0871912133415664,0.04715940134011,0.0646362038327863,"*","Sin evidencia"
"Oro","Nikkei 225","1%",19,0.000563559057820646,0.00805564420136953,0.0299832228343152,0.255225763561833,"n.s.",0.0793488257800877,0.255040270646996,"n.s.",0.109332048614403,0.0657122686667893,0.0963207473742578,"*","Sin evidencia"
"Oro","Nikkei 225","5%",94,0.000598619476491143,0.00830205023524383,0.0281114730904446,0.370137102825445,"n.s.",0.0497617238086638,0.385176054187913,"n.s.",0.0778731968991084,0.046192268578961,0.0919923990227554,"*","Sin evidencia"
"Oro","Nikkei 225","10%",187,0.000601930628306233,0.0131378110775558,0.0304979942874915,0.391516132608849,"n.s.",0.0337998037762525,0.559748466302723,"n.s.",0.064297798063744,0.0416663287058119,0.122961965127809,"n.s.","Sin evidencia"
