"Activo","Indice","Umbral","N_crisis","Beta0","p_Beta0_bi","Beta1","p_Beta1_bi","Sig_Beta1","Beta2","p_Beta2_bi","Sig_Beta2","Beta_crisis","SE_Beta_crisis","p_Beta_crisis_bi","Sig_Beta_crisis","Clasificacion","Fase","Obs_subperiodo"
"Bitcoin","S&P 500","5%",25,-0.00121528330448432,0.558022136723264,0.228803934668052,0.50901610912549,"n.s.",0.0762950088822782,0.884147424182495,"n.s.",0.30509894355033,0.449209113386277,0.497343993373603,"n.s.","Sin evidencia","1. Pre-COVID",483
"Bitcoin","Eurostoxx 50","5%",25,-0.0020302298908104,0.334369007219805,0.40824744536993,0.184188007612223,"n.s.",-0.652741760613703,0.286095278592815,"n.s.",-0.244494315243773,0.448020490445241,0.585511058710885,"n.s.","Refugio débil","1. Pre-COVID",483
"Bitcoin","Nikkei 225","5%",25,-0.00120487361678761,0.557730179309053,-0.384319744412728,0.0712382681636405,"*",0.132759268292246,0.71082391047952,"n.s.",-0.251560476120482,0.278924314936081,0.367564914324628,"n.s.","Refugio débil","1. Pre-COVID",483
"Oro","S&P 500","5%",25,-0.00000359639473344491,0.990936381370052,-0.0251753073900883,0.623137870440836,"n.s.",-0.107856504238038,0.227962469599027,"n.s.",-0.133031811628127,0.0723010413493066,0.0663897528804591,"*","Refugio débil","1. Pre-COVID",483
"Oro","Eurostoxx 50","5%",25,0.000260309959776114,0.395298817241974,-0.112991040884696,0.0211657071709122,"**",0.109166687400903,0.461208821951576,"n.s.",-0.00382435348379288,0.137608681448619,0.977839985469294,"n.s.","Refugio débil","1. Pre-COVID",483
"Oro","Nikkei 225","5%",25,0.000204044025690194,0.501930015483722,-0.0467886948427864,0.256710228681901,"n.s.",0.0575878001147358,0.649861612517077,"n.s.",0.0107991052719494,0.115691430675305,0.925669195880287,"n.s.","Sin evidencia","1. Pre-COVID",483
"Bitcoin","S&P 500","5%",33,0.00111177266946623,0.493936223027427,0.969013284842163,0.000000000000000655819191138611,"***",0.424654648233492,0.192434947380311,"n.s.",1.39366793307566,0.320900789487262,0.0000162807059136261,"***","Procíclico","2. Pandemia",659
"Bitcoin","Eurostoxx 50","5%",33,0.00232988372433914,0.208312617569409,0.589401203950894,0.00000682809835985455,"***",0.850608827948346,0.0812926521555459,"*",1.44001003189924,0.480493327861822,0.0028300296395595,"***","Procíclico","2. Pandemia",659
"Bitcoin","Nikkei 225","5%",33,0.0019544864898433,0.213278506967869,0.0891199184048812,0.488600467665196,"n.s.",0.795249305559755,0.0705958087333301,"*",0.884369223964636,0.41881051890266,0.0350964822725346,"**","Procíclico","2. Pandemia",659
"Oro","S&P 500","5%",33,0.00016601031115835,0.635394592161018,0.123449880113738,0.0453297800105399,"**",-0.00136211989513298,0.988293931525511,"n.s.",0.122087760218605,0.0487355868742243,0.0124828169392765,"**","Procíclico","2. Pandemia",659
"Oro","Eurostoxx 50","5%",33,0.000395946211230561,0.273579797753712,0.0335601867694047,0.615889795909965,"n.s.",0.0858763639464286,0.336400007660313,"n.s.",0.119436550715833,0.059914440678312,0.0466256763539428,"**","Procíclico","2. Pandemia",659
"Oro","Nikkei 225","5%",33,0.000408278576074596,0.261384505280177,0.0192054791894668,0.683790632338196,"n.s.",0.118012721707797,0.318106004199696,"n.s.",0.137218200897264,0.107109343057441,0.200609853850328,"n.s.","Sin evidencia","2. Pandemia",659
"Bitcoin","S&P 500","5%",37,0.00014044382277352,0.89717297004272,1.01633298132049,0.000000000158634020540898,"***",-0.109521779890951,0.775359203798871,"n.s.",0.906811201429534,0.352146760063167,0.010219759915226,"**","Procíclico","3. ETFs",723
"Bitcoin","Eurostoxx 50","5%",37,0.000321499722511122,0.762734662582324,0.412640209395517,0.00975344000282012,"***",-0.334553893558248,0.305963521807812,"n.s.",0.0780863158372684,0.308169215532902,0.800040896778821,"n.s.","Sin evidencia","3. ETFs",723
"Bitcoin","Nikkei 225","5%",37,0.00148830899610653,0.176367166177256,-0.0955093707899573,0.329155792622362,"n.s.",0.257404737241449,0.234678336850644,"n.s.",0.161895366451492,0.235653757086141,0.492300636277014,"n.s.","Sin evidencia","3. ETFs",723
"Oro","S&P 500","5%",37,0.0010008294944611,0.0132889393506434,0.124398023992749,0.134403408224176,"n.s.",0.0115364904709289,0.934260734424179,"n.s.",0.135934514463678,0.102636436665086,0.185781365102838,"n.s.","Sin evidencia","3. ETFs",723
"Oro","Eurostoxx 50","5%",37,0.000956624937778671,0.0184517633478635,0.0555050443938239,0.441916027092405,"n.s.",-0.072700490327766,0.56963192639709,"n.s.",-0.0171954459339421,0.107937343179919,0.87346970077911,"n.s.","Refugio débil","3. ETFs",723
"Oro","Nikkei 225","5%",37,0.000988703602426417,0.0251421057494081,0.0658905912311703,0.23427314345555,"n.s.",-0.011985949212728,0.875253679580997,"n.s.",0.0539046420184423,0.0405494049486942,0.184151211059225,"n.s.","Sin evidencia","3. ETFs",723
